Sr.No.,Sub.Code,TYPE,Subject,Semester,Stream,Branch,Day,Sitting
67,FBEF811,,COMPUTER GRAPHICS,8TH,INT.M.SC,MATHEMATICS AND COMPUTING,1,2
68,FBEF812,,DATA MINING,8TH,INT.M.SC,MATHEMATICS AND COMPUTING,2,2
69,FCYC801,,ORGANIC CHEMISTRY - VI,8TH,INT.M.SC,APPLIED CHEMISTRY,1,2
70,FCYC802,,PHYSICAL CHEMISTRY - VI,8TH,INT.M.SC,APPLIED CHEMISTRY,1,4
71,FCYC803,,SPECTROSCOPIC IDENTIFICATION OF MOLECULES,8TH,INT.M.SC,APPLIED CHEMISTRY,2,2
72,FCYC804,,INST. METHODS OF CHEMICAL ANALYSIS -II,8TH,INT.M.SC,APPLIED CHEMISTRY,2,4
73,FCYC805,,CHEMICAL BIOLOGY,8TH,INT.M.SC,APPLIED CHEMISTRY,3,2
74,FPYC601,,FIBER OPTICS AND HOLOGRAPHY,5TH,INT.M.SC,APPLIED PHYSICS,1,2
75,FPYC602,,MATHEMATICAL METHODS-II,5TH,INT.M.SC,APPLIED PHYSICS,1,4
76,FPYC603,,SOLID STATE PHYSICS,5TH,INT.M.SC,APPLIED PHYSICS,2,2
77,FPYC604,,FUNDAMENTALS OF NUCLEAR AND PARTICLE PHYSICS,5TH,INT.M.SC,APPLIED PHYSICS,2,4
78,FPYC605,,FUNDAMENTALS OF QUANTUM MECHANICS-II,5TH,INT.M.SC,APPLIED PHYSICS,3,2
79,FBEF610,,COMPUTATIONAL METHODS IN PHYSICS,5TH,INT.M.SC,APPLIED PHYSICS,3,4
80,FBEF611,,COMPUTER NETWORK,5TH,INT.M.SC,MATHEMATICS AND COMPUTING,1,2
81,FHMF609,,"INDIAN SOCIETY, ETHICS & CULTURE",5TH,INT.M.SC,MATHEMATICS AND COMPUTING,1,4
82,FMCC601,,OPERATIONS RESEARCH,5TH,INT.M.SC,MATHEMATICS AND COMPUTING,2,2
83,FMCC602,,COMPLEX ANALYSIS,5TH,INT.M.SC,MATHEMATICS AND COMPUTING,2,4
84,FMCC603,,DIFFERENTIAL EQUATION-II,5TH,INT.M.SC,MATHEMATICS AND COMPUTING,3,2
85,FMCE606,,FUZZY & ROUGH SET THEORY,5TH,INT.M.SC,MATHEMATICS AND COMPUTING,3,4
86,FCYC601,,PHYSICAL CHEMISTRY-IV,5TH,INT.M.SC,APPLIED CHEMISTRY,1,2
87,FCYC602,,INORGANIC CHEMISTRY-V,5TH,INT.M.SC,APPLIED CHEMISTRY,1,4
88,FCYC603,,QUANTUM THEORY,5TH,INT.M.SC,APPLIED CHEMISTRY,2,2
89,FCYF604,,ENVIRONMENTAL CHEMISTRY,5TH,INT.M.SC,APPLIED CHEMISTRY,2,4
90,FCYF605,,SOLID STATE CHEMISTRY,5TH,INT.M.SC,APPLIED CHEMISTRY,3,2
91,16MPYC402,,NANO SCIENCE AND TECHNOLOGY,4TH,M.SC,APPLIED PHYSICS,1,2
92,16MPYC403,,ATOMIC AND MOLECULAR PHYSICS,4TH,M.SC,APPLIED PHYSICS,1,4
93,16MPYC401,,MATERIAL SCIENCE,4TH,M.SC,APPLIED PHYSICS,2,2
94,16MPYC405,,ADVANCE CONDENSED MATTER PHYSICS-II,4TH,M.SC,APPLIED PHYSICS,2,4
95,MMCC401,,DIFFERENTIAL GEOMETRY,4TH,M.SC,MATHEMATICS AND COMPUTING,1,2
96,MMCF407,,THEORY OF COMPUTATION,4TH,M.SC,MATHEMATICS AND COMPUTING,1,4
97,MMCE409,,NUMBER THEORY AND CRYPTOGRAPHY,4TH,M.SC,MATHEMATICS AND COMPUTING,2,2
98,16MCYC401,,ANALYTICAL TECHNIQUES – II,4TH,M.SC,APPLIED CHEMISTRY,1,2
99,16MCYC402,,POLYMER CHEMISTRY,4TH,M.SC,APPLIED CHEMISTRY,1,4
100,16MCYF407,,CHEMISTRY OF NATURAL PRODUCTS,4TH,M.SC,APPLIED CHEMISTRY,2,2
101,16MCYF409,,NUCLEAR CHEMISTRY,4TH,M.SC,APPLIED CHEMISTRY,2,4
1,PBT6I101,PC(CP),BIOREACTOR DESIGN AND ANALYSIS,6TH,B.TECH,BIO TECHNOLOGY,1,2
2,PBT6I102,PC(CP),BIOINFOMATICS,6TH,B.TECH,BIO TECHNOLOGY,1,4
3,PBT6J001,PE(O1),STEM CELL ENGINEERING,6TH,B.TECH,BIO TECHNOLOGY,2,2
4,PBT6J004,PE(O2),NANOBIOTECHNOLOGY,6TH,B.TECH,BIO TECHNOLOGY,2,4
5,PMG6M001,,ENVIRONMENTAL SCIENCE & ENGINEERING,6TH,B.TECH,BIO TECHNOLOGY,3,2
6,PEN6E101,HS(CP),BUSINESS COMMUNICATION AND SKILL FOR INTERVIEW,6TH,B.TECH,BIO TECHNOLOGY,3,4
7,PCI6I101,PC(CP),FOUNDATION ENGG.,6TH,B.TECH,CIVIL ENGINEERING,1,2
8,PCI6I102,PC(CP),IRRIGATION ENGINEERING,6TH,B.TECH,CIVIL ENGINEERING,1,4
9,PCI6J001,PE(O1),ADVANCED TRANSPORTATION ENGINEERING,6TH,B.TECH,CIVIL ENGINEERING,2,2
10,PCI6J006,PE(O2),PRE-STRESSED CONCRETE,6TH,B.TECH,CIVIL ENGINEERING,2,4
11,PMG6M001,,ENVIRONMENTAL SCIENCE & ENGINEERING,6TH,B.TECH,CIVIL ENGINEERING,3,2
12,PEN6E101,HS(CP),BUSINESS COMMUNICATION AND SKILL FOR INTERVIEW,6TH,B.TECH,CIVIL ENGINEERING,3,4
13,PCS6I101,PC(CP),COMPUTER NETWORK,6TH,B.TECH,COMPUTER SCIENCE & ENGINEERING,1,2
14,PCS6I102,PC(CP),COMPILER DESIGN,6TH,B.TECH,COMPUTER SCIENCE & ENGINEERING,1,4
15,PCS6J001,PE(O1),DIGITAL IMAGE PROCESSING,6TH,B.TECH,COMPUTER SCIENCE & ENGINEERING,2,2
16,PCS6J005,PE(O2),INTERNET & WEB TECHNOLOGY,6TH,B.TECH,COMPUTER SCIENCE & ENGINEERING,2,4
17,PMG6M001,,ENVIRONMENTAL SCIENCE & ENGINEERING,6TH,B.TECH,COMPUTER SCIENCE & ENGINEERING,3,2
18,PEN6E101,HS(CP),BUSINESS COMMUNICATION AND SKILL FOR INTERVIEW,6TH,B.TECH,COMPUTER SCIENCE & ENGINEERING,3,4
19,PEE6G002,,CONTROL SYSTEM-II,6TH,B.TECH,ELECTRICAL ENGINEERING,1,2
20,PEE6I101,PC(CP),ELECTRICAL DRIVES,6TH,B.TECH,ELECTRICAL ENGINEERING,1,4
21,PEE6I102,PC(CP),POWER SYSTEM & OPERATION & CONTROL,6TH,B.TECH,ELECTRICAL ENGINEERING,2,2
22,PEE6J003,PE(O1),HVDC TRANSMISSION,6TH,B.TECH,ELECTRICAL ENGINEERING,2,4
23,PMG6M001,,ENVIRONMENTAL SCIENCE & ENGINEERING,6TH,B.TECH,ELECTRICAL ENGINEERING,3,2
24,PEN6E101,HS(CP),BUSINESS COMMUNICATION AND SKILL FOR INTERVIEW,6TH,B.TECH,ELECTRICAL ENGINEERING,3,4
25,PFT6I101,,COMPUTER AIDED PATTERN MAKING,6TH,B.TECH,FASHION & APPAREL TECHNOLOGY,1,2
26,PFT6I102,,GARMENT PROCESSING & FINISHING,6TH,B.TECH,FASHION & APPAREL TECHNOLOGY,1,4
27,PFT6J001,,"APPAREL PRODUCTION, PLANNING, CONTROLLING & SCHEDULING",6TH,B.TECH,FASHION & APPAREL TECHNOLOGY,2,2
28,PFT6J006,,INDUSTRIAL ENGINEERING IN GARMENT INDUSTRY,6TH,B.TECH,FASHION & APPAREL TECHNOLOGY,2,4
29,PMG6M001,,ENVIRONMENTAL SCIENCE & ENGINEERING,6TH,B.TECH,FASHION & APPAREL TECHNOLOGY,3,2
30,PEN6E101,HS(CP),BUSINESS COMMUNICATION AND SKILL FOR INTERVIEW,6TH,B.TECH,FASHION & APPAREL TECHNOLOGY,3,4
31,PIT6I101,PC(CP),COMPUTER NETWORK AND DATA COMMUNICATION,6TH,B.TECH,INFORMATION TECHNOLOGY,1,2
32,PIT6I102,PC(CP),INTERNET & WEB TECHNOLOGY,6TH,B.TECH,INFORMATION TECHNOLOGY,2,4
33,PIT6J001,PE(O1),COMPILER DESIGN,6TH,B.TECH,INFORMATION TECHNOLOGY,1,4
34,PIT6J005,PE(O1),WIRELESS SENSOR NETWORKS,6TH,B.TECH,INFORMATION TECHNOLOGY,1,4
35,PIT6J008,PE(O2),MACHINE LEARNING,6TH,B.TECH,INFORMATION TECHNOLOGY,2,2
36,PIT6J009,PE(O2),OBJECT ORINED SOFTWARE ENGINEERING,6TH,B.TECH,INFORMATION TECHNOLOGY,2,2
37,PMG6M001,,ENVIRONMENTAL SCIENCE & ENGINEERING,6TH,B.TECH,INFORMATION TECHNOLOGY,3,2
38,PEN6E101,HS(CP),BUSINESS COMMUNICATION AND SKILL FOR INTERVIEW,6TH,B.TECH,INFORMATION TECHNOLOGY,3,4
39,PEI6I101,PC(CP),PROCESS CONTROL,6TH,B.TECH,INSTRUMENTATION & ELECTRONICS ENGINEERING,1,2
40,PEI6I102,PC(CP),INDUSTRIAL AUTOMATION,6TH,B.TECH,INSTRUMENTATION & ELECTRONICS ENGINEERING,1,4
41,PEI6J002,PE(O1),ADVANCED CONTROL SYSTEMS,6TH,B.TECH,INSTRUMENTATION & ELECTRONICS ENGINEERING,2,2
42,PEI6J004,PE(O2),BIOMEDICAL INSTRUMENTATION,6TH,B.TECH,INSTRUMENTATION & ELECTRONICS ENGINEERING,2,4
43,PMG6M001,,ENVIRONMENTAL SCIENCE & ENGINEERING,6TH,B.TECH,INSTRUMENTATION & ELECTRONICS ENGINEERING,3,2
44,PEN6E101,HS(CP),BUSINESS COMMUNICATION AND SKILL FOR INTERVIEW,6TH,B.TECH,INSTRUMENTATION & ELECTRONICS ENGINEERING,3,4
45,PME6I101,PC(CP),PRODUCTION & OPERATION MANAGEMENT,6TH,B.TECH,MECHANICAL ENGINEERING,1,2
46,PME6I102,PC(CP),REFRIGERATION & AIR CONDITIONING,6TH,B.TECH,MECHANICAL ENGINEERING,1,4
47,PME6J001,PE(O1),PRODUCT DESIGN AND PRODUCTION TOOLING,6TH,B.TECH,MECHANICAL ENGINEERING,2,2
48,PME6J005,PE(O2),AUTOMOBILE ENGINEERING,6TH,B.TECH,MECHANICAL ENGINEERING,2,4
49,PMG6M001,,ENVIRONMENTAL SCIENCE & ENGINEERING,6TH,B.TECH,MECHANICAL ENGINEERING,3,2
50,PEN6E101,HS(CP),BUSINESS COMMUNICATION AND SKILL FOR INTERVIEW,6TH,B.TECH,MECHANICAL ENGINEERING,3,4
51,PTX6I101,PC(CP),THEORY OF TEXTILE STRUCTURE,6TH,B.TECH,TEXTILE ENGINEERING,1,4
52,PTX6I102,PC(CP),TESTING OF TEXTILE MATERIALS,6TH,B.TECH,TEXTILE ENGINEERING,2,2
53,PTX6J003,PE(O1),MANUFACTURING OF SPECIALITY YARN,6TH,B.TECH,TEXTILE ENGINEERING,2,4
54,PTX6J005,PE(O2),ADVANCED CHEMICAL PROCESSING,6TH,B.TECH,TEXTILE ENGINEERING,1,2
55,PTX6J006,PE(O2),APPAREL TECHNOLOGY,6TH,B.TECH,TEXTILE ENGINEERING,1,2
56,PMG6M001,,ENVIRONMENTAL SCIENCE & ENGINEERING,6TH,B.TECH,TEXTILE ENGINEERING,3,2
57,PEN6E101,HS(CP),BUSINESS COMMUNICATION AND SKILL FOR INTERVIEW,6TH,B.TECH,TEXTILE ENGINEERING,3,4
58,FPYC801,,QUANTUM MECHANICS-II,8TH,INT.M.SC,APPLIED PHYSICS,1,2
59,FPYC802,,STATISTICAL MECHANICS,8TH,INT.M.SC,APPLIED PHYSICS,1,4
60,FPYC803,,BASIC CONDENSED MATTER PHYSICS,8TH,INT.M.SC,APPLIED PHYSICS,2,2
61,FPYC804,,MATHEMATICAL METHOD IN PHYSICS-II,8TH,INT.M.SC,APPLIED PHYSICS,2,4
62,FPYC805,,ELECTRONICS,8TH,INT.M.SC,APPLIED PHYSICS,3,2
63,FMCC801,,ALGEBRA-II,8TH,INT.M.SC,MATHEMATICS AND COMPUTING,3,4
64,FMCC802,,STOCHASTIC PROCESS,8TH,INT.M.SC,MATHEMATICS AND COMPUTING,1,4
65,FMCC803,,OPTIMIZATION TECHNIQUE,8TH,INT.M.SC,MATHEMATICS AND COMPUTING,3,2
66,FMCC804,,MATRIX COMPUTATION,8TH,INT.M.SC,MATHEMATICS AND COMPUTING,2,4
67,FBEF811,,COMPUTER GRAPHICS,8TH,INT.M.SC,MATHEMATICS AND COMPUTING,1,2
68,FBEF812,,DATA MINING,8TH,INT.M.SC,MATHEMATICS AND COMPUTING,2,2
69,FCYC801,,ORGANIC CHEMISTRY - VI,8TH,INT.M.SC,APPLIED CHEMISTRY,1,2
70,FCYC802,,PHYSICAL CHEMISTRY - VI,8TH,INT.M.SC,APPLIED CHEMISTRY,1,4
71,FCYC803,,SPECTROSCOPIC IDENTIFICATION OF MOLECULES,8TH,INT.M.SC,APPLIED CHEMISTRY,2,2
72,FCYC804,,INST. METHODS OF CHEMICAL ANALYSIS -II,8TH,INT.M.SC,APPLIED CHEMISTRY,2,4
73,FCYC805,,CHEMICAL BIOLOGY,8TH,INT.M.SC,APPLIED CHEMISTRY,3,2
74,FPYC601,,FIBER OPTICS AND HOLOGRAPHY,6TH,INT.M.SC,APPLIED PHYSICS,1,2
75,FPYC602,,MATHEMATICAL METHODS-II,6TH,INT.M.SC,APPLIED PHYSICS,1,4
76,FPYC603,,SOLID STATE PHYSICS,6TH,INT.M.SC,APPLIED PHYSICS,2,2
77,FPYC604,,FUNDAMENTALS OF NUCLEAR AND PARTICLE PHYSICS,6TH,INT.M.SC,APPLIED PHYSICS,2,4
78,FPYC605,,FUNDAMENTALS OF QUANTUM MECHANICS-II,6TH,INT.M.SC,APPLIED PHYSICS,3,2
79,FBEF610,,COMPUTATIONAL METHODS IN PHYSICS,6TH,INT.M.SC,APPLIED PHYSICS,3,4
80,FBEF611,,COMPUTER NETWORK,6TH,INT.M.SC,MATHEMATICS AND COMPUTING,1,2
81,FHMF609,,"INDIAN SOCIETY, ETHICS & CULTURE",6TH,INT.M.SC,MATHEMATICS AND COMPUTING,1,4
82,FMCC601,,OPERATIONS RESEARCH,6TH,INT.M.SC,MATHEMATICS AND COMPUTING,2,2
83,FMCC602,,COMPLEX ANALYSIS,6TH,INT.M.SC,MATHEMATICS AND COMPUTING,2,4
84,FMCC603,,DIFFERENTIAL EQUATION-II,6TH,INT.M.SC,MATHEMATICS AND COMPUTING,3,2
85,FMCE606,,FUZZY & ROUGH SET THEORY,6TH,INT.M.SC,MATHEMATICS AND COMPUTING,3,4
86,FCYC601,,PHYSICAL CHEMISTRY-IV,6TH,INT.M.SC,APPLIED CHEMISTRY,1,2
87,FCYC602,,INORGANIC CHEMISTRY-V,6TH,INT.M.SC,APPLIED CHEMISTRY,1,4
88,FCYC603,,QUANTUM THEORY,6TH,INT.M.SC,APPLIED CHEMISTRY,2,2
89,FCYF604,,ENVIRONMENTAL CHEMISTRY,6TH,INT.M.SC,APPLIED CHEMISTRY,2,4
90,FCYF605,,SOLID STATE CHEMISTRY,6TH,INT.M.SC,APPLIED CHEMISTRY,3,2
91,16MPYC402,,NANO SCIENCE AND TECHNOLOGY,4TH,M.SC,APPLIED PHYSICS,1,2
92,16MPYC403,,ATOMIC AND MOLECULAR PHYSICS,4TH,M.SC,APPLIED PHYSICS,1,4
93,16MPYC401,,MATERIAL SCIENCE,4TH,M.SC,APPLIED PHYSICS,2,2
94,16MPYC405,,ADVANCE CONDENSED MATTER PHYSICS-II,4TH,M.SC,APPLIED PHYSICS,2,4
95,MMCC401,,DIFFERENTIAL GEOMETRY,4TH,M.SC,MATHEMATICS AND COMPUTING,1,2
96,MMCF407,,THEORY OF COMPUTATION,4TH,M.SC,MATHEMATICS AND COMPUTING,1,4
97,MMCE409,,NUMBER THEORY AND CRYPTOGRAPHY,4TH,M.SC,MATHEMATICS AND COMPUTING,2,2
98,16MCYC401,,ANALYTICAL TECHNIQUES – II,4TH,M.SC,APPLIED CHEMISTRY,1,2
99,16MCYC402,,POLYMER CHEMISTRY,4TH,M.SC,APPLIED CHEMISTRY,1,4
100,16MCYF407,,CHEMISTRY OF NATURAL PRODUCTS,4TH,M.SC,APPLIED CHEMISTRY,2,2
101,16MCYF409,,NUCLEAR CHEMISTRY,4TH,M.SC,APPLIED CHEMISTRY,2,4
